model,feature,importance
ast_rate,ast_r10,0.318371057510376
ast_rate,ast_r5,0.11634611338376999
ast_rate,ast_sd10,0.05754108354449272
ast_rate,min_r10,0.05011499673128128
ast_rate,reb_r10,0.03624209016561508
ast_rate,min_r5,0.024707399308681488
ast_rate,pts_r10,0.020363807678222656
ast_rate,team_drtg_roll10,0.02029184065759182
ast_rate,reb_sd10,0.020230112597346306
ast_rate,opp_pace_roll10,0.019203176721930504
ast_rate,opp_ortg_roll10,0.019155682995915413
ast_rate,min_sd10,0.01898728311061859
ast_rate,team_pace_roll10,0.018645424395799637
ast_rate,opp_def_rating_roll,0.018591150641441345
ast_rate,opp_drtg_roll10,0.01856193318963051
ast_rate,opp_drtg,0.018372181802988052
ast_rate,opp_pace_roll,0.018348705023527145
ast_rate,opp_pace,0.01801876537501812
ast_rate,reb_r5,0.01794239692389965
ast_rate,pts_sd10,0.017853951081633568
ast_rate,team_pace,0.017572475597262383
ast_rate,pts_r5,0.01711013726890087
ast_rate,opp_ortg,0.016950342804193497
ast_rate,team_drtg,0.01640026643872261
ast_rate,team_ortg_roll10,0.014677715487778187
ast_rate,team_ortg,0.013131914660334587
ast_rate,gp_last14,0.01243293285369873
ast_rate,rest_days,0.0
ast_rate,b2b,0.0
ast_rate,games_last_7d,0.0
min,min_r5,0.6005162000656128
min,min_r10,0.11509588360786438
min,pts_r5,0.08727851510047913
min,opp_pace_roll,0.014584713615477085
min,opp_def_rating_roll,0.013788275420665741
min,reb_r5,0.011563405394554138
min,min_sd10,0.010528411716222763
min,gp_last14,0.01051013357937336
min,opp_pace_roll10,0.009317697957158089
min,opp_pace,0.009167361073195934
min,opp_ortg_roll10,0.008426487445831299
min,team_pace_roll10,0.008158765733242035
min,pts_r10,0.007936500012874603
min,pts_sd10,0.007427251897752285
min,opp_ortg,0.007414223626255989
min,ast_r5,0.007129569537937641
min,team_ortg_roll10,0.0070247040130198
min,opp_drtg,0.006818469613790512
min,ast_r10,0.0067446911707520485
min,team_pace,0.006711909081786871
min,reb_r10,0.006407313048839569
min,ast_sd10,0.0063655502162873745
min,team_drtg,0.006311917211860418
min,reb_sd10,0.006286708638072014
min,team_ortg,0.006263948045670986
min,team_drtg_roll10,0.006177835166454315
min,opp_drtg_roll10,0.006043476518243551
min,rest_days,0.0
min,b2b,0.0
min,games_last_7d,0.0
pts_rate,pts_r10,0.32783791422843933
pts_rate,pts_r5,0.08386527001857758
pts_rate,min_r10,0.04368087649345398
pts_rate,opp_pace_roll,0.02969491481781006
pts_rate,min_r5,0.02824064902961254
pts_rate,pts_sd10,0.028134994208812714
pts_rate,opp_drtg_roll10,0.025225263088941574
pts_rate,opp_def_rating_roll,0.023208368569612503
pts_rate,opp_pace_roll10,0.02294195257127285
pts_rate,opp_pace,0.022762762382626534
pts_rate,min_sd10,0.022301986813545227
pts_rate,reb_sd10,0.021576445549726486
pts_rate,opp_drtg,0.021490026265382767
pts_rate,reb_r10,0.02132990211248398
pts_rate,ast_sd10,0.021240439265966415
pts_rate,team_ortg_roll10,0.020664755254983902
pts_rate,ast_r10,0.020610956475138664
pts_rate,team_drtg_roll10,0.020283622667193413
pts_rate,team_pace,0.02011279948055744
pts_rate,ast_r5,0.020084895193576813
pts_rate,opp_ortg,0.019832532852888107
pts_rate,opp_ortg_roll10,0.01952357590198517
pts_rate,reb_r5,0.01946701668202877
pts_rate,team_pace_roll10,0.01889784261584282
pts_rate,team_drtg,0.01824372634291649
pts_rate,team_ortg,0.015824798494577408
pts_rate,gp_last14,0.014626716263592243
pts_rate,rest_days,0.0
pts_rate,b2b,0.0
pts_rate,games_last_7d,0.0
reb_rate,reb_r10,0.2783568799495697
reb_rate,min_r10,0.10049080848693848
reb_rate,reb_sd10,0.05983276292681694
reb_rate,reb_r5,0.051720064133405685
reb_rate,ast_r10,0.04437874257564545
reb_rate,min_r5,0.02703934907913208
reb_rate,min_sd10,0.02523074671626091
reb_rate,pts_sd10,0.0215609073638916
reb_rate,opp_def_rating_roll,0.021332180127501488
reb_rate,ast_sd10,0.021302998065948486
reb_rate,opp_drtg_roll10,0.02035338431596756
reb_rate,opp_pace,0.01989711821079254
reb_rate,team_pace_roll10,0.019682403653860092
reb_rate,pts_r5,0.019281430169939995
reb_rate,pts_r10,0.019061928614974022
reb_rate,team_pace,0.0190595630556345
reb_rate,opp_drtg,0.01889594830572605
reb_rate,team_ortg_roll10,0.018855756148695946
reb_rate,opp_ortg_roll10,0.018747229129076004
reb_rate,opp_ortg,0.0187006164342165
reb_rate,team_drtg_roll10,0.018048126250505447
reb_rate,opp_pace_roll10,0.01801418699324131
reb_rate,opp_pace_roll,0.017901334911584854
reb_rate,ast_r5,0.01744009554386139
reb_rate,team_drtg,0.01686459220945835
reb_rate,team_ortg,0.014440772123634815
reb_rate,gp_last14,0.01274300366640091
reb_rate,rest_days,0.0
reb_rate,b2b,0.0
reb_rate,games_last_7d,0.0
